airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Air India,2019-04-09,Delhi,Cochin,05:55:00,19:15:00,2240,2,No info,7711
Air India,2019-06-03,Delhi,Cochin,07:10:00,07:40:00,1470,2,No info,12698
Air India,2019-05-15,Kolkata,Banglore,16:45:00,21:05:00,1700,1,No info,7452
Vistara,2019-06-15,Chennai,Kolkata,07:05:00,09:20:00,135,0,No info,3687
Jet Airways,2019-04-09,Delhi,Cochin,23:05:00,19:00:00,1195,2,No info,9483
Vistara,2019-06-27,Chennai,Kolkata,07:05:00,09:20:00,135,0,No info,3687
Jet Airways,2019-06-12,Kolkata,Banglore,10:20:00,17:35:00,435,1,In-flight meal not included,5608
Spicejet,2019-05-06,Banglore,Delhi,05:55:00,08:35:00,160,0,No info,3311
Air India,2019-05-01,Mumbai,Hyderabad,21:05:00,22:25:00,80,0,No info,3625
Jet Airways,2019-04-15,Delhi,Cochin,14:00:00,19:00:00,300,1,In-flight meal not included,6542
Indigo,2019-03-27,Delhi,Cochin,16:10:00,22:20:00,370,1,No info,6412
Jet Airways,2019-03-09,Banglore,Delhi,19:55:00,22:35:00,160,0,No info,7229
Air India,2019-05-06,Delhi,Cochin,20:40:00,09:25:00,765,1,No info,7480
Spicejet,2019-05-21,Banglore,Delhi,09:30:00,12:20:00,170,0,No check-in baggage included,3573
Air India,2019-05-15,Kolkata,Banglore,07:00:00,05:25:00,1345,2,No info,14424
Jet Airways,2019-06-12,Kolkata,Banglore,18:55:00,12:00:00,1025,1,No info,13044
Jet Airways,2019-05-18,Kolkata,Banglore,20:00:00,09:20:00,800,1,No info,14781
Goair,2019-06-21,Banglore,Delhi,11:40:00,14:30:00,170,0,No info,3398
Air India,2019-03-03,Delhi,Cochin,05:55:00,19:15:00,2240,2,No info,13748
Multiple Carriers,2019-06-03,Delhi,Cochin,13:00:00,19:15:00,375,1,No info,14848
Air India,2019-05-21,Kolkata,Banglore,08:20:00,20:25:00,725,2,No info,12324
Jet Airways,2019-06-12,Kolkata,Banglore,14:05:00,19:50:00,345,1,In-flight meal not included,9899
Indigo,2019-06-06,Banglore,Delhi,23:30:00,02:20:00,170,0,No info,4591
Air India,2019-03-27,Delhi,Cochin,17:15:00,07:40:00,865,2,No info,8367
Jet Airways,2019-03-12,Mumbai,Hyderabad,08:15:00,16:35:00,500,2,No info,23843
Jet Airways,2019-05-12,Kolkata,Banglore,20:00:00,09:20:00,800,1,No info,14388
Multiple Carriers,2019-06-06,Delhi,Cochin,19:00:00,01:30:00,390,1,No info,7530
Air Asia,2019-05-09,Kolkata,Banglore,10:20:00,12:55:00,155,0,No info,4409
Vistara,2019-03-09,Banglore,Delhi,09:50:00,12:35:00,165,0,No info,11598
Air Asia,2019-06-15,Delhi,Cochin,07:55:00,13:25:00,330,1,No info,6253
Vistara,2019-03-01,Banglore,Delhi,07:00:00,09:40:00,160,0,No info,21520
Jet Airways,2019-05-21,Mumbai,Hyderabad,07:05:00,08:30:00,85,0,No info,8040
Jet Airways,2019-04-18,Delhi,Cochin,11:00:00,14:15:00,195,0,No info,9564
Vistara,2019-05-01,Kolkata,Banglore,20:20:00,23:25:00,1625,1,No info,8085
Jet Airways,2019-06-09,Kolkata,Banglore,18:55:00,20:45:00,1550,1,In-flight meal not included,10844
Jet Airways,2019-03-01,Banglore,Delhi,08:00:00,07:40:00,1420,1,No info,22270
Jet Airways,2019-06-09,Delhi,Cochin,18:15:00,12:35:00,1100,1,In-flight meal not included,10577
Indigo,2019-06-01,Banglore,Delhi,00:25:00,03:15:00,170,0,No info,4077
Jet Airways,2019-05-06,Kolkata,Banglore,08:25:00,16:20:00,475,1,In-flight meal not included,10844
Jet Airways,2019-05-09,Delhi,Cochin,19:15:00,19:00:00,1425,1,In-flight meal not included,12373
Air India,2019-03-01,Banglore,Delhi,11:05:00,09:15:00,1330,1,No info,13439
Jet Airways,2019-03-01,Banglore,Delhi,18:40:00,09:00:00,860,1,No info,31825
Multiple Carriers,2019-05-06,Delhi,Cochin,19:00:00,01:30:00,390,1,No info,8073
Air India,2019-05-06,Kolkata,Banglore,12:00:00,07:55:00,1195,2,No info,10151
Indigo,2019-05-24,Mumbai,Hyderabad,09:10:00,10:40:00,90,0,No info,5755
Air India,2019-06-12,Delhi,Cochin,17:15:00,09:25:00,970,2,No info,9417
Jet Airways,2019-05-21,Kolkata,Banglore,17:00:00,18:00:00,1500,1,No info,14151
Jet Airways,2019-06-12,Kolkata,Banglore,06:30:00,19:50:00,800,1,No info,13626
Jet Airways,2019-05-09,Kolkata,Banglore,16:30:00,08:15:00,945,1,No info,13941
Jet Airways,2019-05-21,Delhi,Cochin,09:40:00,04:25:00,1125,2,No info,15129
Indigo,2019-04-27,Delhi,Cochin,07:35:00,12:10:00,275,1,No info,5073
Indigo,2019-03-24,Kolkata,Banglore,15:20:00,17:55:00,155,0,No info,6985
Indigo,2019-03-09,Delhi,Cochin,06:40:00,21:20:00,880,2,No info,8146
Jet Airways,2019-03-03,Delhi,Cochin,20:05:00,04:25:00,500,2,No info,46490
Indigo,2019-04-18,Banglore,Delhi,01:30:00,04:15:00,165,0,No info,4591
Spicejet,2019-05-12,Chennai,Kolkata,08:20:00,10:35:00,135,0,No info,3597
Vistara,2019-06-09,Kolkata,Banglore,07:10:00,22:55:00,945,1,No info,8662
Multiple Carriers,2019-06-01,Delhi,Cochin,13:00:00,19:15:00,375,1,No info,16108
Indigo,2019-05-21,Delhi,Cochin,10:35:00,01:30:00,895,1,No info,6794
Air Asia,2019-06-12,Delhi,Cochin,07:55:00,22:25:00,870,1,No info,6152
Indigo,2019-03-06,Delhi,Cochin,08:25:00,15:30:00,425,1,No info,14871
Jet Airways,2019-05-24,Delhi,Cochin,05:30:00,04:25:00,1375,2,No info,15129
Jet Airways,2019-04-01,Kolkata,Banglore,14:05:00,20:45:00,400,1,No info,13364
Air Asia,2019-04-01,Kolkata,Banglore,19:55:00,22:25:00,150,0,No info,3807
Jet Airways,2019-03-06,Banglore,Delhi,05:45:00,10:25:00,280,1,No info,19225
Air India,2019-03-24,Kolkata,Banglore,09:50:00,23:15:00,2245,2,No info,14410
Multiple Carriers,2019-06-03,Delhi,Cochin,15:15:00,01:30:00,615,1,No info,6795
Jet Airways,2019-03-21,Delhi,Cochin,13:00:00,18:50:00,350,1,No info,12347
Air India,2019-06-24,Delhi,Cochin,14:25:00,19:15:00,1730,2,No info,13381
Multiple Carriers,2019-05-15,Delhi,Cochin,07:05:00,16:10:00,545,1,No info,9646
Indigo,2019-06-09,Banglore,Delhi,16:55:00,19:45:00,170,0,No info,4823
Air India,2019-06-03,Delhi,Cochin,22:00:00,19:15:00,1275,2,No info,10231
Vistara,2019-03-06,Delhi,Cochin,14:55:00,17:50:00,175,0,No info,8001
Jet Airways,2019-04-06,Banglore,Delhi,15:15:00,18:10:00,175,0,No info,7229
Jet Airways,2019-03-01,Mumbai,Hyderabad,10:20:00,11:50:00,90,0,No info,10875
Spicejet,2019-04-27,Kolkata,Banglore,14:55:00,17:25:00,150,0,No check-in baggage included,3841
Indigo,2019-04-12,Banglore,Delhi,18:25:00,21:20:00,175,0,No info,4990
Indigo,2019-04-03,Mumbai,Hyderabad,02:35:00,04:05:00,90,0,No info,2754
Air India,2019-04-24,Banglore,Delhi,21:05:00,23:55:00,170,0,No info,5228
Indigo,2019-06-01,Delhi,Cochin,17:10:00,01:30:00,500,1,No info,6628
Jet Airways,2019-06-09,Delhi,Cochin,21:25:00,12:35:00,910,2,No info,13292
Air India,2019-03-24,Banglore,Delhi,21:10:00,23:55:00,165,0,No info,4441
Jet Airways,2019-03-15,Banglore,Delhi,11:40:00,18:25:00,405,1,In-flight meal not included,9134
Jet Airways,2019-06-09,Delhi,Cochin,19:45:00,04:25:00,520,1,In-flight meal not included,10577
Air India,2019-04-24,Delhi,Cochin,14:10:00,17:10:00,180,0,No info,6094
Jet Airways,2019-06-03,Banglore,Delhi,19:50:00,22:50:00,180,0,No info,8016
Spicejet,2019-06-06,Kolkata,Banglore,11:15:00,18:30:00,435,1,No info,10156
Spicejet,2019-06-03,Mumbai,Hyderabad,22:45:00,00:15:00,90,0,No info,2017
Jet Airways,2019-03-03,Mumbai,Hyderabad,19:35:00,21:05:00,90,0,No info,5678
Air India,2019-06-24,Delhi,Cochin,17:15:00,19:15:00,1560,2,No info,11989
Air India,2019-06-03,Delhi,Cochin,13:20:00,07:40:00,1100,2,No info,11911
